用語,解説
Ruby,シンプルかつ強力な、まつもとゆきひろ氏開発の動的言語。
Ruby on Rails,Rubyで書かれた、生産性の高いWebアプリケーションフレームワーク。
RubyMine,JetBrains社が提供するRuby/Rails向けの高機能IDE。
Scala,オブジェクト指向と関数型プログラミングを統合した言語。
setter,フィールド（メンバ変数）に値をセットするためのメソッド。
SOLID原則,変更に強い設計を行うための5つの原則。
Stateパターン,状態そのものをオブジェクトとして表現し、状態遷移を管理するパターン。
staticメソッド,インスタンス化せずに呼び出せるメソッド。使いすぎると低凝集を招く。
Strategyパターン,アルゴリズム（戦略）を切り替え可能にするデザインパターン。
switch文,複数の値に基づいて処理を分岐させる構文。
TDD,テスト駆動開発。先にテストを書き、それをパスするコードを書く手法。
"Tell,Don't Ask.",「尋ねるな、命じろ」。オブジェクトの内部状態を聞かずに、処理を任せる原則。
Template Method,処理の骨組みを親クラスで定義し、詳細は子クラスで実装するパターン。
Twitter,現X。エンジニアの情報収集や発信によく使われる。
UML,Unified Modeling Language。設計図を表現するための統一的な記法。
unmodifiableListメソッド,リストを「変更不能（読み取り専用）」にするJavaのメソッド。
Use Case,システムがユーザーに対して提供する具体的な機能や価値。
Util,汎用的なユーティリティ。名前が曖昧で、無関係な処理が溜まりやすい。
Value Object,値そのものを表現し、交換はできるが変更はできない不変オブジェクト。
Visual Studio,Microsoftが提供する統合開発環境（主にC#等）。
Visual Studio Code,軽量で拡張性が高い、現在最も普及しているエディタ。
YAGNI,You Ain't Gonna Need It。将来必要になる「かも」しれない機能は作らない原則。
YARD,Ruby用のドキュメント生成ツール。
アクター,ユースケース図などでシステムを利用する役割（人や外部システム）。
アクセサ修飾子,publicやprivateなど、メソッドや変数の公開範囲を制御する記述。
アクセサメソッド,フィールドにアクセスするためのメソッド（getter/setter）。
値オブジェクト,Value Objectの日本語訳。
アッパーキャメルケース,各単語の先頭を大文字にする表記（例：MyClass）。
アノテーション,コードに付加情報を与える注釈（例：@Override）。
あるべき構造,技術駆動ではなく、ビジネスの目的に沿って整理された理想の設計。
アンカリング効果,最初に提示された情報に判断が引きずられてしまう心理現象。
委譲,あるオブジェクトの処理を、別のオブジェクトに任せること。
一貫性がない,同じ意味のものが場所によって違う名前や方法で扱われている状態。
イミュータブル,一度作成したらその状態（値）を変更できない性質。不変。
影響スケッチ,コード変更の影響がどこまで及ぶかを視覚化した図。
影響範囲,ある箇所のコードを修正した際に、動作が変わる可能性のある場所の広さ。
影響目標値,リファクタリングなどで目指すべき改善の数値目標。
エンティティ,Entityの日本語訳。
エンティティパターン,ドメイン駆動設計におけるエンティティの実装パターン。
オーバーライド,親クラスやインターフェースのメソッドを子クラスで再定義すること。
横断的関心事,ログ出力やセキュリティなど、多くの機能にまたがって必要な共通処理。
驚き最小の原則,ユーザーや開発者が予想した通りに動作し、驚かせないようにする原則。
オブジェクト指向,データと手続き（メソッド）をセットにした「オブジェクト」を基本単位とする考え方。
思わぬ副作用,ある箇所の変更が、一見関係ない場所でバグを引き起こすこと。
ガード節,メソッドの冒頭で不正な条件を弾き、早期リターンさせる手法。
開発生産性,開発チームが価値をデリバリーする効率。設計が悪いと低下する。
仮想現実,VR。プログラミングの文脈では抽象化によるモデル化を指すことがある。
過学習,特定のケースに最適化しすぎて、汎用性や柔軟性が失われた状態。
カプセル化,データとロジックを一つにまとめ、不必要な内部詳細を隠すこと。
可視性,ある要素（変数やクラス）がどこから見えるか（アクセスできるか）。
可読性,コードの読みやすさ。メンテナンス性に直結する。
過保護なクラス,外部からの操作を制限しすぎたり、内部で持ちすぎている状態。
神クラス,一つのクラスが多すぎる責務を持ち、巨大化してしまった状態。
関心事,プログラムが解決しようとしている特定の機能や目的。
関心の分離,異なる目的（関心事）を持つコードを別々のモジュールに分けること。
関数,特定の入力を受け取り、処理結果を返す仕組み。
関数型,状態を持たず、関数の組み合わせでプログラムを構成するスタイル。
完全コンストラクタ,インスタンス生成時にすべてのバリデーションを終え、不正を防ぐ設計。
米こりのジレンマ,目先の速度を優先すると、将来の負債が増えて結局遅くなる現象。
技術駆動パッケージング,MVCなどの技術構造に基づいてフォルダ分けをする方法（低凝集になりやすい）。
技術的負債,汚いコードや場当たり的な修正が、将来の変更を困難にさせるコスト。
技術聖域化,特定の人しか触れない、理解不能なブラックボックス化したコード。
逆コンウェイ作戦,組織構造を理想のソフトウェア構造に合わせて再編すること。
キャスト,変数の型を強制的に別の型に変換すること。
凝集度,一つのモジュール内にある要素同士の関連の強さ。高いほど良い。
共通化,同じ処理をまとめること。安易に行うと異なる関心事が混ざる危険がある。
共通処理クラス,UtilやCommonなど。低凝集になりやすく注意が必要。
巨大データクラス,保持するデータが多すぎて、どこで何が使われているか不明なクラス。
銀の弾丸,あらゆる問題を一撃で解決する魔法のような手法（実際には存在しない）。
クエリ,データの取得のみを行い、状態を変更しない操作。
クラス,オブジェクトの設計図。データとメソッドを定義する。
クラス図,クラスの構造と、クラス間の関係を表現した図。
クラス設計,適切なクラスの切り出しや責任の持たせ方を考えること。
クラスベース,クラスを元にオブジェクトを生成するオブジェクト指向のスタイル。
グローバル変数,プログラムのどこからでもアクセス・変更可能な変数。バグの温床。
黒魔術,メタプログラミングなどを用いて、動作が予測困難な複雑なコードを書くこと。
継承,既存のクラスの性質を引き継いで新しいクラスを作ること。多用は危険。
継承より委譲,継承を使ってコードを再利用するのではなく、他クラスを利用する設計。
結合度,モジュール間の依存関係の強さ。低い（疎結合）ほど良い。
コードの腐敗,設計が崩れ、変更が困難でバグが出やすい状態になっていくこと。
コーディング規約,チーム内で統一したコードの書き方のルール。
コードメトリクス,複雑度や行数など、コードの品質を数値で測定したもの。
コードレビュー,他の開発者が書いたコードをチェックし、品質を高めるプロセス。
コードメイン,コードそのものがドメイン（ビジネス知識）を表現している状態。
高凝集,関連するデータとロジックが一つのクラスにまとまっている良い状態。
コマンド,システムの状態を変更し、値を返さない操作。
コマンド・クエリ責務分離,CQRS。更新用と参照用のモデルを分離する設計。
コマンド・クエリ分離,CQS。一つのメソッドに更新と参照の両方をさせない原則。
コミュニケーション,開発チーム間での意思疎通。設計意図の共有に不可欠。
コメント,コードの補足説明。コードで意図を表現し、コメントを減らすのが理想。
コレクション,リストやセットなど、複数の要素をまとめて扱うデータ構造。
コンウェイの法則,システムの構造は、それを作る組織の構造を反映するという法則。
コンテキスト,文脈。同じ言葉でも文脈（境界）によって意味が変わることを指す。
コンポジション,「合成」。あるクラスが他のクラスのインスタンスを持つこと。
再代入,一度値を代入した変数に、別の値を入れ直すこと。バグの原因になりやすい。
サンプルコードのコピペ,意味を理解せずにコピーすることで、不適切な実装が広まること。
四角い車輪の再発明,既存の優れた解決策を知らず、より悪い方法を自作してしまうこと。
試行リファクタリング,理解のために一時的にコードを書き換えてみる手法。
自己防衛責務,クラスが自身の正当性を守り、不正な状態で存在させない責務。
システム,複数の要素が組み合わさり、全体として機能するもの。
社会的活動,プログラミングは一人ではなく、チームや社会での協力活動であるという視点。
車輪の再発明,既にある標準的な機能を、わざわざ自分で作り直すこと。
修正性,バグの修正や機能変更のしやすさ。
主作用,メソッドの本来の目的である処理（例：戻り値を返す）。
出力引数,引数として渡したオブジェクトの中身を書き換えて値を返す手法。非推奨。
循環的複雑度,コード内の条件分岐の多さを表す指標。高いほどバグが出やすい。
仕様化テスト,現状の動作を保護し、リファクタリング中のデグレードを防ぐテスト。
条件分岐,ifやswitchなど、状況に応じて処理を変えること。多すぎると複雑になる。
状態パターン,Stateパターンのこと。
正体を見破る,複雑なコードの中に隠れた、本来のビジネスロジックや意図を特定すること。
情報システム,情報を処理・管理し、業務を支える仕組み。
ジョシュアツリーの法則,「名前」を知ることで、それが見えるようになり制御できるという法則。
シンタックスハイライト,コードの構文に応じて色分け表示するエディタの機能。
心理的安全性格,ミスを恐れず発言・行動できるチームの状態。良い設計の土台。
スーパークラス依存,子クラスが親クラスの内部実装に強く依存し、変更が困難な状態。
ストラテジパターン,Strategyパターンのこと。
スネークケース,単語間をアンダースコアで繋ぐ表記（例：my_variable）。
スプラウトメソッド,既存の巨大メソッドに直接書かず、新しいメソッドとして切り出して呼ぶ手法。
スマートUI,画面表示のクラスにビジネスロジックを詰め込んでしまう悪いパターン。
静的解析,プログラムを実行せずに、ソースコードを解析して問題を指摘すること。
静的型付け,変数の型を実行前（コンパイル時）に決定する言語の性質。
責任,そのクラスやメソッドが「何をなすべきか」という役割。
責任転嫁,自クラスで守るべきバリデーションなどを、呼び出し側に押し付けること。
設計,目的を達成するために、構成要素をどのように配置するか決めること。
設計効果,良い設計によって開発速度や品質が向上するメリット。
設計責任者,プロジェクトの設計品質に責任を持つ役割。
設計パターン,よくある課題に対する、再利用可能な解決策の型（デザインパターン）。
タイプセーフ,型チェックによって、不正な操作をコンパイル時に防げる安全な状態。
多重定義,オーバーロード。同じ名前で引数が異なるメソッドを複数定義すること。
単一責務の原則,一つのクラスは一つの役割（責任）に集中すべきという原則。
単一責任の原則,SOLID原則の一つ。変更の理由が一つであるべきという原則。
知識,ビジネスルールや計算式など、プログラムが表現すべき「知っていること」。
チャンク,人間が一度に知覚できる情報の塊。コードを適切なサイズに分ける目安。
重複コード,同じロジックが複数の場所に書かれている状態。修正漏れの原因。
データクラス,ロジックを持たず、データ（変数）のみを保持するクラス。低凝集。
低凝集,関連するロジックが分散し、クラス内の要素がバラバラな悪い状態。
定義,ある概念や処理に名前をつけ、中身を確定させること。
デザインパターン,設計上の典型的な問題に対する、先人の知恵が詰まった解決テンプレート。
テスト駆動開発,TDDのこと。
テストコード,プログラムが正しく動くか自動で検証するためのコード。
テストフレームワーク,テストコードを簡単に書き、実行するためのツール。
手抜き型,とりあえず動けば良いという考えで作られた、将来の負債になる設計。
デッドコード,どこからも呼び出されず、実行されることのない不要なコード。
デフォルトコンストラクタ,引数なしで自動的に生成されるコンストラクタ。
デメテルの法則,「最小知識の原則」。知らない相手（隣の隣）には話しかけない原則。
到達不能コード,条件分岐の関係で、絶対に実行されない場所にあるコード。
毒ドキュメント,メンテナンスされず、現状のコードと食い違っている嘘の文書。
ドメインエキスパート,そのビジネス領域（業務内容）に非常に詳しい専門家。
ドメインオブジェクト,ビジネスの概念やルールを直接表現したオブジェクト。
ドメイン駆動設計,DDD。ビジネスの複雑さを中心に据えてソフトウェアを設計する手法。
ドメインロジック,業務上の判断や計算を行う、システムの核心となるロジック。
ドメインロジックスクリプトパターン,ロジックをクラスに分けず、手続き的に書き並べる方法。
トランザクションスクリプトパターン,ドメインロジックスクリプトパターンの別名。
名前を設計する,単なるラベル貼りではなく、その対象の役割や意図を正確に命名すること。
生焼けオブジェクト,初期化が不十分で、未設定のまま使うとエラーになるオブジェクト。
ネスト,if文やfor文の中に入れ子でさらに構文が入ること。深いと読みづらい。
パッケージ,関連するクラスをまとめるグループ（フォルダ）単位。
排他制御,複数の処理が同時に同じデータにアクセスして矛盾が出るのを防ぐ仕組み。
破壊的代入,既存の変数やオブジェクトの状態を、元に戻せない形で上書きすること。
早すぎる最適化,パフォーマンスの問題が確認される前に、複雑な最適化を行うこと。
パラダイム,プログラミングにおける基本的な考え方の枠組み（オブジェクト指向等）。
バリデーション,入力されたデータが正しい形式や範囲内かチェックすること。
パレートの法則,「80:20の法則」。全体の2割のコードがバグの8割を占める等の現象。
引数,メソッドに外部から渡すデータ。多すぎると理解を妨げる。
ビジネス概念,業務で使われる言葉やルールそのもの。
ビジネス目的,システムが解決しようとしている業務上の課題や達成したいこと。
費用対効果,設計にかける工数と、それによって得られる保守性のメリットのバランス。
貧血ドメインモデル,データだけでロジックを持たない、スカスカなドメインオブジェクト。
品質特性,保守性、移植性、効率性など、ソフトウェアが持つべき品質の側面。
フールプルーフ,誤った操作をしても壊れないように、あらかじめ対策しておく設計。
ファーストクラスコレクション,First Class Collectionのこと。
ファクトリメソッド,インスタンスの生成を専門に行うメソッド。
深いモデル,ドメインの本質的な知識が凝縮された、洞察に満ちた設計モデル。
不確実性,将来の仕様変更など、現時点で予測できない要素。
不吉な臭い,コードに設計上の問題があることを示唆する、悪い予感のする兆候。
副作用,関数の戻り値を返すこと以外に、システムの状態を変化させること。
付帯要素,本質的なロジックではないが、動作のために必要な周辺コード。
不変,状態が変わらないこと。イミュータブル。
フラグ引数,booleanを渡してメソッド内の挙動を切り替える引数。責務が混在しやすい。
プリミティブ型,intやStringなど、言語標準の基本的なデータ型。
プリミティブ型執着,何でも数値や文字列で扱い、専用の型（値オブジェクト）を作らない悪い癖。
プロトタイプベース,既存のオブジェクトを複製（クローン）して新しいオブジェクトを作る方式。
ベタ書き,抽象化や共通化をせず、そのまま手続き的にコードを書くこと。
勉強会,チームで知識を共有し、設計スキルの向上を目指す活動。
変更容易性,仕様変更があった際に、素早く安全にコードを修正できる度合い。
ボーイスカウトの規則,「キャンプ場は来た時よりも美しくして去る」。コードも触る前より綺麗にする。
保守性,稼働後のシステムを、低コストで維持・改善し続けられる度合い。
保守容易性インデックス,コードの保守しやすさを数値化した指標の一つ。
ポリシーパターン,Policyパターンのこと。
マイクロサービス,巨大なシステムを、独立して動作する小さなサービスの集合で構成する手法。
マジカルナンバー,マジックナンバーと同じ。
マジックナンバー,コード中に直接書かれた、意味が不明な数値。
未熟なクラス,バリデーションやカプセル化が不十分で、安全に使えないクラス。
密結合,クラス間の依存関係が強すぎて、片方の変更が広範囲に影響する悪い状態。
ミュータブル,作成後に状態（値）を変更できる性質。可変。
ミューテーター,オブジェクトの状態を変更するメソッド（setterなど）。
命名,変数や関数に名前をつけること。設計の第一歩。
命名規約,名前の付け方のルール。チーム内で統一することで可読性が上がる。
メソッド,クラスが持つ振る舞い（手続き）。
メソッドオブジェクト,複雑なメソッド自体を一つのクラスとして独立させるパターン。
メソッドチェーン,メソッドの戻り値に対して、さらにメソッドを繋げて呼ぶ書き方。
メタプログラミング,プログラムの構造自体を操作するコードを書くこと。強力だが複雑。
目的不明オブジェクト,何のために存在し、何をすべきか名前から読み取れないオブジェクト。
目的別サービス,特定のユースケースや目的に特化した処理を提供するクラス。
モデリング,現実の事象から必要な要素を抽出し、プログラムの構造として表現すること。
モデル,現実世界を抽象化した概念図や構造。
戻り値,メソッドの実行結果として呼び出し側に返される値。
ユースケース図,システムが提供する機能と、利用者の関係を表現した図。
ユースケースパターン,ドメイン駆動設計における、アプリケーション層の処理パターン。
ユニットテスト,メソッド単位などの最小単位で行う自動テスト。
ユビキタス言語,開発者と業務担当者が日常的に使う、共通のビジネス用語。
良い構造,変更に強く、バグが入りにくく、理解しやすい設計がなされたコード。
リバーダッキング,アヒルのおもちゃに説明するように、誰かに話すことで問題を整理する手法。
ランチスターの法則,弱者が強者に勝つための戦略。設計の優先順位付けの比喩で使われる。
リスコフの置換原則,親クラスを子クラスに置き換えても、正しく動作しなければならないという原則。
リツイート,現Xでの拡散。情報の共有。
リフレクション,実行時に自分自身の構造（型やメソッド）を調べて操作する技術。
リファクタリング,外部から見た動作を変えずに、内部の構造を綺麗に整理すること。
リポジトリパターン,Repositoryパターンのこと。
例外の振り出し,エラーが発生した際に、適切な例外を投げて処理を中断すること。
レイヤードアーキテクチャ,役割に応じてコードを層（レイヤー）に分けて整理する構造。
レガシーコード,テストがなく、変更が困難で恐ろしい状態になった古いコード。
連鎖命名,前の単語を繰り返すような、冗長で意味の薄い名前の付け方。
ローカル変数,メソッド内などの狭い範囲でのみ有効な変数。
ローワーキャメルケース,先頭を小文字にし、続く単語の先頭を大文字にする表記（例：myVariable）。
割れ窓理論,小さな汚れ（汚いコード）を放置すると、全体がどんどん汚くなるという心理的法則。
